application_number,billed_entity_number,billed_entity_name,district,funding_year,certified_date,function,service_type,form_pdf,rfp_url
190003047,35124,PACE CENTER FOR GIRLS,,2019,2018-10-30,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/400285/190003047/Original/USAC_FCC_FORM_470_APPLICATION_190003047_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/400285/190003047/2019%20PACE%20BM%20Equipment.xlsx
190008723,17019223,Beacon College Prep Inc,,2019,2018-12-12,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/17019223/190008723/Original/USAC_FCC_FORM_470_APPLICATION_190008723_CERTIFIED.pdf,
190008723,17019223,Beacon College Prep Inc,,2019,2018-12-12,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/17019223/190008723/Original/USAC_FCC_FORM_470_APPLICATION_190008723_CERTIFIED.pdf,
190009613,211833,ROWLETT ACADEMY,,2019,2018-12-12,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/362203/190009613/Original/USAC_FCC_FORM_470_APPLICATION_190009613_CERTIFIED.pdf,
190009613,211833,ROWLETT ACADEMY,,2019,2018-12-12,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/362203/190009613/Original/USAC_FCC_FORM_470_APPLICATION_190009613_CERTIFIED.pdf,
190009617,17002462,DIOCESE OF ORLANDO OFFICE OF CATHOLIC SCHOOLS,,2019,2018-12-12,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/17002462/190009617/Original/USAC_FCC_FORM_470_APPLICATION_190009617_CERTIFIED.pdf,
190009617,17002462,DIOCESE OF ORLANDO OFFICE OF CATHOLIC SCHOOLS,,2019,2018-12-12,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/17002462/190009617/Original/USAC_FCC_FORM_470_APPLICATION_190009617_CERTIFIED.pdf,
190010056,17002036,The Charter Schools of Excellence,,2019,2018-12-18,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/17002036/190010056/Original/USAC_FCC_FORM_470_APPLICATION_190010056_CERTIFIED.pdf,
190010056,17002036,The Charter Schools of Excellence,,2019,2018-12-18,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/17002036/190010056/Original/USAC_FCC_FORM_470_APPLICATION_190010056_CERTIFIED.pdf,
190010574,127663,GILCHRIST COUNTY SCHOOL DIST,Gilchrist County School District,2019,2018-12-20,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/334827/190010574/Original/USAC_FCC_FORM_470_APPLICATION_190010574_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/334827/190010574/Gilchrist%20Next%20Gen%20Firewall%202018.doc
190010574,127663,GILCHRIST COUNTY SCHOOL DIST,Gilchrist County School District,2019,2018-12-20,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/334827/190010574/Original/USAC_FCC_FORM_470_APPLICATION_190010574_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/334827/190010574/Gilchrist%20Next%20Gen%20Firewall%202018.doc
190011697,127561,BAKER COUNTY SCHOOL DISTRICT,Baker County School District,2019,2018-12-20,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/334727/190011697/Original/USAC_FCC_FORM_470_APPLICATION_190011697_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/334727/190011697/RFP%20Baker%20Count%20School%20District%20E%20Rate%20Category%202%20Firewall%2019%2020.docx
190011697,127561,BAKER COUNTY SCHOOL DISTRICT,Baker County School District,2019,2018-12-20,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/334727/190011697/Original/USAC_FCC_FORM_470_APPLICATION_190011697_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/334727/190011697/RFP%20Baker%20Count%20School%20District%20E%20Rate%20Category%202%20Firewall%2019%2020.docx
190010662,16051836,"CENTRO MATER CHILD CARE SERVICES, INC.",,2019,2018-12-20,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401494/190010662/Original/USAC_FCC_FORM_470_APPLICATION_190010662_CERTIFIED.pdf,
190014269,226941,PALM BEACH MARITIME ACADEMY,,2019,2019-01-09,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/367427/190014269/Original/USAC_FCC_FORM_470_APPLICATION_190014269_CERTIFIED.pdf,
190014351,16050397,CHILDRENS EDUCATIONAL SERVICES,,2019,2019-01-09,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/384899/190014351/Original/USAC_FCC_FORM_470_APPLICATION_190014351_CERTIFIED.pdf,
190014545,16057893,"FLORENCE FULLER CHILD DEVELOPMENT CENTERS, INC",,2019,2019-01-09,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401622/190014545/Original/USAC_FCC_FORM_470_APPLICATION_190014545_CERTIFIED.pdf,
190015291,16040448,FAMILY CHRISTIAN ASSOCIATION OF AMERICA,,2019,2019-01-11,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401138/190015291/Original/USAC_FCC_FORM_470_APPLICATION_190015291_CERTIFIED.pdf,
190015226,127605,WAKULLA COUNTY SCHOOL DISTRICT,Wakulla County School District,2019,2019-01-14,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/334770/190015226/Original/USAC_FCC_FORM_470_APPLICATION_190015226_CERTIFIED.pdf,
190015226,127605,WAKULLA COUNTY SCHOOL DISTRICT,Wakulla County School District,2019,2019-01-14,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/334770/190015226/Original/USAC_FCC_FORM_470_APPLICATION_190015226_CERTIFIED.pdf,
190010096,17016242,Village of Excellence Academy,,2019,2019-01-16,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/17016242/190010096/Original/USAC_FCC_FORM_470_APPLICATION_190010096_CERTIFIED.pdf,
190010096,17016242,Village of Excellence Academy,,2019,2019-01-16,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/17016242/190010096/Original/USAC_FCC_FORM_470_APPLICATION_190010096_CERTIFIED.pdf,
190016822,16045205,LE JARDIN COMMUNITY CENTER,,2019,2019-01-17,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/382036/190016822/Original/USAC_FCC_FORM_470_APPLICATION_190016822_CERTIFIED.pdf,
190016948,16045205,LE JARDIN COMMUNITY CENTER,,2019,2019-01-17,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/382036/190016948/Original/USAC_FCC_FORM_470_APPLICATION_190016948_CERTIFIED.pdf,
190016948,16045205,LE JARDIN COMMUNITY CENTER,,2019,2019-01-17,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/382036/190016948/Original/USAC_FCC_FORM_470_APPLICATION_190016948_CERTIFIED.pdf,
190017757,16056854,CHARTER SCHOOLS USA,,2019,2019-01-22,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/190017757/Current/USAC_FCC_FORM_470_APPLICATION_190017757_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/190017757/Corrected%202019%20Charter%20USA%20SCHOOLs%20IC%20RFP.xlsx
190017757,16056854,CHARTER SCHOOLS USA,,2019,2019-01-22,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/190017757/Current/USAC_FCC_FORM_470_APPLICATION_190017757_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/190017757/2019%20Charter%20USA%20SCHOOLs%20IC%20RFP.xlsx
190017757,16056854,CHARTER SCHOOLS USA,,2019,2019-01-22,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/190017757/Current/USAC_FCC_FORM_470_APPLICATION_190017757_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/190017757/Special%20Note%20%20Existing%20Schools.docx
190017818,16056854,CHARTER SCHOOLS USA,,2019,2019-01-22,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/190017818/Original/USAC_FCC_FORM_470_APPLICATION_190017818_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/190017818/2019%20Charter%20USA%20SCHOOLs%20New%20Schools%20IC%20RFP.xlsx
190013994,17003033,Alachua Learning Center DBA Alachua Learning Academy,,2019,2019-01-22,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/17003033/190013994/Original/USAC_FCC_FORM_470_APPLICATION_190013994_CERTIFIED.pdf,
190013994,17003033,Alachua Learning Center DBA Alachua Learning Academy,,2019,2019-01-22,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/17003033/190013994/Original/USAC_FCC_FORM_470_APPLICATION_190013994_CERTIFIED.pdf,
190018548,16062480,LAKE WALES CHARTER SCHOOLS,,2019,2019-01-24,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/391757/190018548/Original/USAC_FCC_FORM_470_APPLICATION_190018548_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/391757/190018548/LWCS_Cat2_2019.xlsx
190020375,16071501,"SUNSHINE CHARTER ACADEMY OF BROWARD, INC. DBA SUNED HIGH SCHOOL",,2019,2019-01-30,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/396405/190020375/Original/USAC_FCC_FORM_470_APPLICATION_190020375_CERTIFIED.pdf,
190016793,16073516,SAN JOSE ACADEMY,,2019,2019-02-01,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/397463/190016793/Original/USAC_FCC_FORM_470_APPLICATION_190016793_CERTIFIED.pdf,
190023668,16046573,PARADISE CHRISTIAN SCHOOL,,2019,2019-02-11,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/382837/190023668/Original/USAC_FCC_FORM_470_APPLICATION_190023668_CERTIFIED.pdf,
190023668,16046573,PARADISE CHRISTIAN SCHOOL,,2019,2019-02-11,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/382837/190023668/Original/USAC_FCC_FORM_470_APPLICATION_190023668_CERTIFIED.pdf,
190023735,16056854,CHARTER SCHOOLS USA,,2019,2019-02-12,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/190023735/Current/USAC_FCC_FORM_470_APPLICATION_190023735_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/190023735/2019%20CAT%202%20eRate%20IC%20RFP%20%20Upgrades.xlsx
190023735,16056854,CHARTER SCHOOLS USA,,2019,2019-02-12,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/190023735/Current/USAC_FCC_FORM_470_APPLICATION_190023735_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/190023735/ERate%20470%20BOM%20Info.docx
190023992,16055616,LINCOLN-MARTI SCHOOL DISTRICT,,2019,2019-02-12,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/400694/190023992/Current/USAC_FCC_FORM_470_APPLICATION_190023992_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/400694/190023992/This%20is%20for%20license%20renewal%20only%20for%2047%20firewalls%20%20Meraki%20MX84%20Advanced%20Firewall%20Security%20License%20LIC.docx
190023992,16055616,LINCOLN-MARTI SCHOOL DISTRICT,,2019,2019-02-12,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/400694/190023992/Current/USAC_FCC_FORM_470_APPLICATION_190023992_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/400694/190023992/FY19%20C2%20correct%20RFP.pdf
190023992,16055616,LINCOLN-MARTI SCHOOL DISTRICT,,2019,2019-02-12,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/400694/190023992/Current/USAC_FCC_FORM_470_APPLICATION_190023992_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/400694/190023992/FY19%20C2%20correct%20RFP.pdf
190024289,16056854,CHARTER SCHOOLS USA,,2019,2019-02-14,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/190024289/Current/USAC_FCC_FORM_470_APPLICATION_190024289_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/190024289/ERate%20470%20BOM%20Info.docx
190024289,16056854,CHARTER SCHOOLS USA,,2019,2019-02-14,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/190024289/Current/USAC_FCC_FORM_470_APPLICATION_190024289_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/190024289/New%20Schools%202019%20CAT%202%20eRate%20IC%20RFP%20Form%20.xlsx
190026075,16038401,POTTER'S HOUSE CHRISTIAN ACADEMY,,2019,2019-02-20,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401112/190026075/Original/USAC_FCC_FORM_470_APPLICATION_190026075_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401112/190026075/Potters%20House%20Christian%20Academy%20C2%202019%20RFP.docx
190026075,16038401,POTTER'S HOUSE CHRISTIAN ACADEMY,,2019,2019-02-20,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401112/190026075/Original/USAC_FCC_FORM_470_APPLICATION_190026075_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401112/190026075/Potters%20House%20Christian%20Academy%20C2%202019%20RFP.docx
190017263,228615,RCMA,,2019,2019-02-21,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/400492/190017263/Original/USAC_FCC_FORM_470_APPLICATION_190017263_CERTIFIED.pdf,
190026711,16056854,CHARTER SCHOOLS USA,,2019,2019-02-21,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/190026711/Original/USAC_FCC_FORM_470_APPLICATION_190026711_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/190026711/CSUSA%20MIBS%20and%20BMIC%20%20%20RFP%20Worksheet.xlsx
190028675,16038929,CITY OF PALMS CHARTER HIGH SCHOOL,,2019,2019-02-26,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/379120/190028675/Original/USAC_FCC_FORM_470_APPLICATION_190028675_CERTIFIED.pdf,
190028675,16038929,CITY OF PALMS CHARTER HIGH SCHOOL,,2019,2019-02-26,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/379120/190028675/Original/USAC_FCC_FORM_470_APPLICATION_190028675_CERTIFIED.pdf,
190029114,16051551,"ESCAMBIA CTY  HEAD START/COMM ACT. PROG. COMMITTEE , INC.",,2019,2019-02-27,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401479/190029114/Original/USAC_FCC_FORM_470_APPLICATION_190029114_CERTIFIED.pdf,
190029114,16051551,"ESCAMBIA CTY  HEAD START/COMM ACT. PROG. COMMITTEE , INC.",,2019,2019-02-27,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401479/190029114/Original/USAC_FCC_FORM_470_APPLICATION_190029114_CERTIFIED.pdf,
190029540,16039146,"EPISCOPAL CHILDREN'S SERVICES, INC.",,2019,2019-02-28,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401119/190029540/Original/USAC_FCC_FORM_470_APPLICATION_190029540_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401119/190029540/RFP%20%20%20%20Additional%20Information.%20%20Cat%202.docx
190029540,16039146,"EPISCOPAL CHILDREN'S SERVICES, INC.",,2019,2019-02-28,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401119/190029540/Original/USAC_FCC_FORM_470_APPLICATION_190029540_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401119/190029540/RFP%20BID%20WORKSHEET%20%20%20ECS%20%20Cat%202.xlsx
190030058,127804,PINELLAS COUNTY SCHOOLS,Pinellas County Schools,2019,2019-03-27,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/334958/190030058/Original/USAC_FCC_FORM_470_APPLICATION_190030058_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/334958/190030058/Firewall_%20Next%20Generation%20Internet_bidforms.docx
190030058,127804,PINELLAS COUNTY SCHOOLS,Pinellas County Schools,2019,2019-03-27,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/334958/190030058/Original/USAC_FCC_FORM_470_APPLICATION_190030058_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/334958/190030058/Firewall_%20Next%20Generation%20Internet.pdf
200000770,127722,127722 - MIAMI-DADE COUNTY PUBLIC SCHOOLS,Miami-Dade County Public Schools,2020,2019-09-18,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/334883/200000770/Current/USAC_FCC_FORM_470_APPLICATION_200000770_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/334883/200000770/ITB%2019%20001%20DP%20%20QUESTIONS%20AND%20ANSWERS%20Addendum%201.pdf
200000770,127722,127722 - MIAMI-DADE COUNTY PUBLIC SCHOOLS,Miami-Dade County Public Schools,2020,2019-09-18,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/334883/200000770/Current/USAC_FCC_FORM_470_APPLICATION_200000770_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/334883/200000770/ITB%2019%20001%20DP%20NETWORK%20CONNECTIVITY.pdf
200000770,127722,127722 - MIAMI-DADE COUNTY PUBLIC SCHOOLS,Miami-Dade County Public Schools,2020,2019-09-18,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/334883/200000770/Current/USAC_FCC_FORM_470_APPLICATION_200000770_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/334883/200000770/ITB%2019%20001%20DP%20%20QUESTIONS%20AND%20ANSWERS%20Addendum%201.pdf
200000770,127722,127722 - MIAMI-DADE COUNTY PUBLIC SCHOOLS,Miami-Dade County Public Schools,2020,2019-09-18,Firewall Service and Components,Basic Maintenance of Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/334883/200000770/Current/USAC_FCC_FORM_470_APPLICATION_200000770_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/334883/200000770/ITB%2019%20001%20DP%20NETWORK%20CONNECTIVITY.pdf
200006859,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006859/Current/USAC_FCC_FORM_470_APPLICATION_200006859_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006859/INNOVATION%20equipment%20Part%20Number%20Spreadsheet.v2.xlsx
200006859,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006859/Current/USAC_FCC_FORM_470_APPLICATION_200006859_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006859/Innovation%20Preparatory%20Academy.docx
200006859,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006859/Current/USAC_FCC_FORM_470_APPLICATION_200006859_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006859/INNOVATION%20equipment%20Part%20Number%20Spreadsheet.v2.xlsx
200006859,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006859/Current/USAC_FCC_FORM_470_APPLICATION_200006859_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006859/470%20Changes.docx
200006859,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006859/Current/USAC_FCC_FORM_470_APPLICATION_200006859_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006859/Innovation%20Preparatory%20Academy.docx
200006859,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006859/Current/USAC_FCC_FORM_470_APPLICATION_200006859_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006859/470%20Changes.docx
200006864,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006864/Current/USAC_FCC_FORM_470_APPLICATION_200006864_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006864/Winthrop%20Charter%20High%20School.docx
200006864,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006864/Current/USAC_FCC_FORM_470_APPLICATION_200006864_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006864/470%20Changes.docx
200006864,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006864/Current/USAC_FCC_FORM_470_APPLICATION_200006864_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006864/WINTHROP%20equipment%20Part%20Number%20Spreadsheet.v2.xlsx
200006864,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006864/Current/USAC_FCC_FORM_470_APPLICATION_200006864_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006864/Winthrop%20Charter%20High%20School.docx
200006864,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006864/Current/USAC_FCC_FORM_470_APPLICATION_200006864_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006864/470%20Changes.docx
200006864,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006864/Current/USAC_FCC_FORM_470_APPLICATION_200006864_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006864/WINTHROP%20equipment%20Part%20Number%20Spreadsheet.v2.xlsx
200006671,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006671/Current/USAC_FCC_FORM_470_APPLICATION_200006671_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006671/Cardinal%20Charter%20Academy.docx
200006671,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006671/Current/USAC_FCC_FORM_470_APPLICATION_200006671_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006671/470%20Changes.docx
200006671,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006671/Current/USAC_FCC_FORM_470_APPLICATION_200006671_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006671/CARDINAL%20equipment%20Part%20Number%20Spreadsheet.v2.xlsx
200006671,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006671/Current/USAC_FCC_FORM_470_APPLICATION_200006671_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006671/470%20Changes.docx
200006671,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006671/Current/USAC_FCC_FORM_470_APPLICATION_200006671_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006671/CARDINAL%20equipment%20Part%20Number%20Spreadsheet.v2.xlsx
200006671,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006671/Current/USAC_FCC_FORM_470_APPLICATION_200006671_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006671/Cardinal%20Charter%20Academy.docx
200006139,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006139/Current/USAC_FCC_FORM_470_APPLICATION_200006139_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006139/470%20Changes.docx
200006139,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006139/Current/USAC_FCC_FORM_470_APPLICATION_200006139_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006139/Acadiana%20Renaissance%20Charter%20Academy.docx
200006139,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006139/Current/USAC_FCC_FORM_470_APPLICATION_200006139_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006139/ACADIANA%20equipment%20Part%20Number%20Spreadsheet.v2.xlsx
200006139,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006139/Current/USAC_FCC_FORM_470_APPLICATION_200006139_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006139/470%20Changes.docx
200006139,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006139/Current/USAC_FCC_FORM_470_APPLICATION_200006139_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006139/Acadiana%20Renaissance%20Charter%20Academy.docx
200006139,16056854,CHARTER SCHOOLS USA,,2020,2019-12-05,Firewall Service and Components,Internal Connections,https://publicdata.usac.org/SL/Prd/Form470/401600/200006139/Current/USAC_FCC_FORM_470_APPLICATION_200006139_CERTIFIED.pdf,https://publicdata.usac.org/SL/Prd/Form470/401600/200006139/ACADIANA%20equipment%20Part%20Number%20Spreadsheet.v2.xlsx
